Country/Region,Province/State,Lat,Long,date,confirmed,deaths,recovered
Afghanistan,,33.0,65.0,1/22/20,0,0,0
Afghanistan,,33.0,65.0,1/23/20,0,0,0
Afghanistan,,33.0,65.0,1/24/20,0,0,0
Afghanistan,,33.0,65.0,1/25/20,0,0,0
Afghanistan,,33.0,65.0,1/26/20,0,0,0
Afghanistan,,33.0,65.0,1/27/20,0,0,0
Afghanistan,,33.0,65.0,1/28/20,0,0,0
Afghanistan,,33.0,65.0,1/29/20,0,0,0
Afghanistan,,33.0,65.0,1/30/20,0,0,0
Afghanistan,,33.0,65.0,1/31/20,0,0,0
Afghanistan,,33.0,65.0,2/1/20,0,0,0
Afghanistan,,33.0,65.0,2/2/20,0,0,0
Afghanistan,,33.0,65.0,2/3/20,0,0,0
Afghanistan,,33.0,65.0,2/4/20,0,0,0
Afghanistan,,33.0,65.0,2/5/20,0,0,0
Afghanistan,,33.0,65.0,2/6/20,0,0,0
Afghanistan,,33.0,65.0,2/7/20,0,0,0
Afghanistan,,33.0,65.0,2/8/20,0,0,0
Afghanistan,,33.0,65.0,2/9/20,0,0,0
Afghanistan,,33.0,65.0,2/10/20,0,0,0
Afghanistan,,33.0,65.0,2/11/20,0,0,0
Afghanistan,,33.0,65.0,2/12/20,0,0,0
Afghanistan,,33.0,65.0,2/13/20,0,0,0
Afghanistan,,33.0,65.0,2/14/20,0,0,0
Afghanistan,,33.0,65.0,2/15/20,0,0,0
Afghanistan,,33.0,65.0,2/16/20,0,0,0
Afghanistan,,33.0,65.0,2/17/20,0,0,0
Afghanistan,,33.0,65.0,2/18/20,0,0,0
Afghanistan,,33.0,65.0,2/19/20,0,0,0
Afghanistan,,33.0,65.0,2/20/20,0,0,0
Afghanistan,,33.0,65.0,2/21/20,0,0,0
Afghanistan,,33.0,65.0,2/22/20,0,0,0
Afghanistan,,33.0,65.0,2/23/20,0,0,0
Afghanistan,,33.0,65.0,2/24/20,1,0,0
Afghanistan,,33.0,65.0,2/25/20,1,0,0
Afghanistan,,33.0,65.0,2/26/20,1,0,0
Afghanistan,,33.0,65.0,2/27/20,1,0,0
Afghanistan,,33.0,65.0,2/28/20,1,0,0
Afghanistan,,33.0,65.0,2/29/20,1,0,0
Afghanistan,,33.0,65.0,3/1/20,1,0,0
Afghanistan,,33.0,65.0,3/2/20,1,0,0
Afghanistan,,33.0,65.0,3/3/20,1,0,0
Afghanistan,,33.0,65.0,3/4/20,1,0,0
Afghanistan,,33.0,65.0,3/5/20,1,0,0
Afghanistan,,33.0,65.0,3/6/20,1,0,0
Afghanistan,,33.0,65.0,3/7/20,1,0,0
Afghanistan,,33.0,65.0,3/8/20,4,0,0
Afghanistan,,33.0,65.0,3/9/20,4,0,0
Afghanistan,,33.0,65.0,3/10/20,5,0,0
Afghanistan,,33.0,65.0,3/11/20,7,0,0
Afghanistan,,33.0,65.0,3/12/20,7,0,0
Afghanistan,,33.0,65.0,3/13/20,7,0,0
Afghanistan,,33.0,65.0,3/14/20,11,0,0
Afghanistan,,33.0,65.0,3/15/20,16,0,0
Afghanistan,,33.0,65.0,3/16/20,21,0,1
Afghanistan,,33.0,65.0,3/17/20,22,0,1
Afghanistan,,33.0,65.0,3/18/20,22,0,1
Afghanistan,,33.0,65.0,3/19/20,22,0,1
Afghanistan,,33.0,65.0,3/20/20,24,0,1
Afghanistan,,33.0,65.0,3/21/20,24,0,1
Afghanistan,,33.0,65.0,3/22/20,40,1,1
Afghanistan,,33.0,65.0,3/23/20,40,1,1
Afghanistan,,33.0,65.0,3/24/20,74,1,1
Afghanistan,,33.0,65.0,3/25/20,84,2,2
Afghanistan,,33.0,65.0,3/26/20,94,4,2
Afghanistan,,33.0,65.0,3/27/20,110,4,2
Afghanistan,,33.0,65.0,3/28/20,110,4,2
Afghanistan,,33.0,65.0,3/29/20,120,4,2
Afghanistan,,33.0,65.0,3/30/20,170,4,2
Afghanistan,,33.0,65.0,3/31/20,174,4,5
Afghanistan,,33.0,65.0,4/1/20,237,4,5
Afghanistan,,33.0,65.0,4/2/20,273,6,10
Afghanistan,,33.0,65.0,4/3/20,281,6,10
Afghanistan,,33.0,65.0,4/4/20,299,7,10
Afghanistan,,33.0,65.0,4/5/20,349,7,15
Afghanistan,,33.0,65.0,4/6/20,367,11,18
Afghanistan,,33.0,65.0,4/7/20,423,14,18
Afghanistan,,33.0,65.0,4/8/20,444,14,29
Afghanistan,,33.0,65.0,4/9/20,484,15,32
Afghanistan,,33.0,65.0,4/10/20,521,15,32
Afghanistan,,33.0,65.0,4/11/20,555,18,32
Afghanistan,,33.0,65.0,4/12/20,607,18,32
Afghanistan,,33.0,65.0,4/13/20,665,21,32
Afghanistan,,33.0,65.0,4/14/20,714,23,40
Afghanistan,,33.0,65.0,4/15/20,784,25,43
Afghanistan,,33.0,65.0,4/16/20,840,30,54
Afghanistan,,33.0,65.0,4/17/20,906,30,99
Afghanistan,,33.0,65.0,4/18/20,933,30,112
Afghanistan,,33.0,65.0,4/19/20,996,33,131
Afghanistan,,33.0,65.0,4/20/20,1026,36,135
Afghanistan,,33.0,65.0,4/21/20,1092,36,150
Afghanistan,,33.0,65.0,4/22/20,1176,40,166
Albania,,41.1533,20.1683,1/22/20,0,0,0
Albania,,41.1533,20.1683,1/23/20,0,0,0
Albania,,41.1533,20.1683,1/24/20,0,0,0
Albania,,41.1533,20.1683,1/25/20,0,0,0
Albania,,41.1533,20.1683,1/26/20,0,0,0
Albania,,41.1533,20.1683,1/27/20,0,0,0
Albania,,41.1533,20.1683,1/28/20,0,0,0
Albania,,41.1533,20.1683,1/29/20,0,0,0
Albania,,41.1533,20.1683,1/30/20,0,0,0
Albania,,41.1533,20.1683,1/31/20,0,0,0
Albania,,41.1533,20.1683,2/1/20,0,0,0
Albania,,41.1533,20.1683,2/2/20,0,0,0
Albania,,41.1533,20.1683,2/3/20,0,0,0
Albania,,41.1533,20.1683,2/4/20,0,0,0
Albania,,41.1533,20.1683,2/5/20,0,0,0
Albania,,41.1533,20.1683,2/6/20,0,0,0
Albania,,41.1533,20.1683,2/7/20,0,0,0
Albania,,41.1533,20.1683,2/8/20,0,0,0
Albania,,41.1533,20.1683,2/9/20,0,0,0
Albania,,41.1533,20.1683,2/10/20,0,0,0
Albania,,41.1533,20.1683,2/11/20,0,0,0
Albania,,41.1533,20.1683,2/12/20,0,0,0
Albania,,41.1533,20.1683,2/13/20,0,0,0
Albania,,41.1533,20.1683,2/14/20,0,0,0
Albania,,41.1533,20.1683,2/15/20,0,0,0
Albania,,41.1533,20.1683,2/16/20,0,0,0
Albania,,41.1533,20.1683,2/17/20,0,0,0
Albania,,41.1533,20.1683,2/18/20,0,0,0
Albania,,41.1533,20.1683,2/19/20,0,0,0
Albania,,41.1533,20.1683,2/20/20,0,0,0
Albania,,41.1533,20.1683,2/21/20,0,0,0
Albania,,41.1533,20.1683,2/22/20,0,0,0
Albania,,41.1533,20.1683,2/23/20,0,0,0
Albania,,41.1533,20.1683,2/24/20,0,0,0
Albania,,41.1533,20.1683,2/25/20,0,0,0
Albania,,41.1533,20.1683,2/26/20,0,0,0
Albania,,41.1533,20.1683,2/27/20,0,0,0
Albania,,41.1533,20.1683,2/28/20,0,0,0
Albania,,41.1533,20.1683,2/29/20,0,0,0
Albania,,41.1533,20.1683,3/1/20,0,0,0
Albania,,41.1533,20.1683,3/2/20,0,0,0
Albania,,41.1533,20.1683,3/3/20,0,0,0
Albania,,41.1533,20.1683,3/4/20,0,0,0
Albania,,41.1533,20.1683,3/5/20,0,0,0
Albania,,41.1533,20.1683,3/6/20,0,0,0
Albania,,41.1533,20.1683,3/7/20,0,0,0
Albania,,41.1533,20.1683,3/8/20,0,0,0
Albania,,41.1533,20.1683,3/9/20,2,0,0
Albania,,41.1533,20.1683,3/10/20,10,0,0
Albania,,41.1533,20.1683,3/11/20,12,1,0
Albania,,41.1533,20.1683,3/12/20,23,1,0
Albania,,41.1533,20.1683,3/13/20,33,1,0
Albania,,41.1533,20.1683,3/14/20,38,1,0
Albania,,41.1533,20.1683,3/15/20,42,1,0
Albania,,41.1533,20.1683,3/16/20,51,1,0
Albania,,41.1533,20.1683,3/17/20,55,1,0
Albania,,41.1533,20.1683,3/18/20,59,2,0
Albania,,41.1533,20.1683,3/19/20,64,2,0
Albania,,41.1533,20.1683,3/20/20,70,2,0
Albania,,41.1533,20.1683,3/21/20,76,2,2
Albania,,41.1533,20.1683,3/22/20,89,2,2
Albania,,41.1533,20.1683,3/23/20,104,4,2
Albania,,41.1533,20.1683,3/24/20,123,5,10
Albania,,41.1533,20.1683,3/25/20,146,5,17
Albania,,41.1533,20.1683,3/26/20,174,6,17
Albania,,41.1533,20.1683,3/27/20,186,8,31
Albania,,41.1533,20.1683,3/28/20,197,10,31
Albania,,41.1533,20.1683,3/29/20,212,10,33
Albania,,41.1533,20.1683,3/30/20,223,11,44
Albania,,41.1533,20.1683,3/31/20,243,15,52
Albania,,41.1533,20.1683,4/1/20,259,15,67
Albania,,41.1533,20.1683,4/2/20,277,16,76
Albania,,41.1533,20.1683,4/3/20,304,17,89
Albania,,41.1533,20.1683,4/4/20,333,20,99
Albania,,41.1533,20.1683,4/5/20,361,20,104
Albania,,41.1533,20.1683,4/6/20,377,21,116
Albania,,41.1533,20.1683,4/7/20,383,22,131
Albania,,41.1533,20.1683,4/8/20,400,22,154
Albania,,41.1533,20.1683,4/9/20,409,23,165
Albania,,41.1533,20.1683,4/10/20,416,23,182
Albania,,41.1533,20.1683,4/11/20,433,23,197
Albania,,41.1533,20.1683,4/12/20,446,23,217
Albania,,41.1533,20.1683,4/13/20,467,23,232
Albania,,41.1533,20.1683,4/14/20,475,24,248
Albania,,41.1533,20.1683,4/15/20,494,25,251
Albania,,41.1533,20.1683,4/16/20,518,26,277
Albania,,41.1533,20.1683,4/17/20,539,26,283
Albania,,41.1533,20.1683,4/18/20,548,26,302
Albania,,41.1533,20.1683,4/19/20,562,26,314
Albania,,41.1533,20.1683,4/20/20,584,26,327
Albania,,41.1533,20.1683,4/21/20,609,26,345
Albania,,41.1533,20.1683,4/22/20,634,27,356
Algeria,,28.0339,1.6596,1/22/20,0,0,0
Algeria,,28.0339,1.6596,1/23/20,0,0,0
Algeria,,28.0339,1.6596,1/24/20,0,0,0
Algeria,,28.0339,1.6596,1/25/20,0,0,0
Algeria,,28.0339,1.6596,1/26/20,0,0,0
Algeria,,28.0339,1.6596,1/27/20,0,0,0
Algeria,,28.0339,1.6596,1/28/20,0,0,0
Algeria,,28.0339,1.6596,1/29/20,0,0,0
Algeria,,28.0339,1.6596,1/30/20,0,0,0
Algeria,,28.0339,1.6596,1/31/20,0,0,0
Algeria,,28.0339,1.6596,2/1/20,0,0,0
Algeria,,28.0339,1.6596,2/2/20,0,0,0
Algeria,,28.0339,1.6596,2/3/20,0,0,0
Algeria,,28.0339,1.6596,2/4/20,0,0,0
Algeria,,28.0339,1.6596,2/5/20,0,0,0
Algeria,,28.0339,1.6596,2/6/20,0,0,0
Algeria,,28.0339,1.6596,2/7/20,0,0,0
Algeria,,28.0339,1.6596,2/8/20,0,0,0
Algeria,,28.0339,1.6596,2/9/20,0,0,0
Algeria,,28.0339,1.6596,2/10/20,0,0,0
Algeria,,28.0339,1.6596,2/11/20,0,0,0
Algeria,,28.0339,1.6596,2/12/20,0,0,0
Algeria,,28.0339,1.6596,2/13/20,0,0,0
Algeria,,28.0339,1.6596,2/14/20,0,0,0
Algeria,,28.0339,1.6596,2/15/20,0,0,0
Algeria,,28.0339,1.6596,2/16/20,0,0,0
Algeria,,28.0339,1.6596,2/17/20,0,0,0
Algeria,,28.0339,1.6596,2/18/20,0,0,0
Algeria,,28.0339,1.6596,2/19/20,0,0,0
Algeria,,28.0339,1.6596,2/20/20,0,0,0
Algeria,,28.0339,1.6596,2/21/20,0,0,0
Algeria,,28.0339,1.6596,2/22/20,0,0,0
Algeria,,28.0339,1.6596,2/23/20,0,0,0
Algeria,,28.0339,1.6596,2/24/20,0,0,0
Algeria,,28.0339,1.6596,2/25/20,1,0,0
Algeria,,28.0339,1.6596,2/26/20,1,0,0
Algeria,,28.0339,1.6596,2/27/20,1,0,0
Algeria,,28.0339,1.6596,2/28/20,1,0,0
Algeria,,28.0339,1.6596,2/29/20,1,0,0
Algeria,,28.0339,1.6596,3/1/20,1,0,0
Algeria,,28.0339,1.6596,3/2/20,3,0,0
Algeria,,28.0339,1.6596,3/3/20,5,0,0
Algeria,,28.0339,1.6596,3/4/20,12,0,0
Algeria,,28.0339,1.6596,3/5/20,12,0,0
Algeria,,28.0339,1.6596,3/6/20,17,0,0
Algeria,,28.0339,1.6596,3/7/20,17,0,0
Algeria,,28.0339,1.6596,3/8/20,19,0,0
Algeria,,28.0339,1.6596,3/9/20,20,0,0
Algeria,,28.0339,1.6596,3/10/20,20,0,0
Algeria,,28.0339,1.6596,3/11/20,20,0,0
Algeria,,28.0339,1.6596,3/12/20,24,1,8
Algeria,,28.0339,1.6596,3/13/20,26,2,8
Algeria,,28.0339,1.6596,3/14/20,37,3,12
Algeria,,28.0339,1.6596,3/15/20,48,4,12
Algeria,,28.0339,1.6596,3/16/20,54,4,12
Algeria,,28.0339,1.6596,3/17/20,60,4,12
Algeria,,28.0339,1.6596,3/18/20,74,7,12
Algeria,,28.0339,1.6596,3/19/20,87,9,32
Algeria,,28.0339,1.6596,3/20/20,90,11,32
Algeria,,28.0339,1.6596,3/21/20,139,15,32
Algeria,,28.0339,1.6596,3/22/20,201,17,65
Algeria,,28.0339,1.6596,3/23/20,230,17,65
Algeria,,28.0339,1.6596,3/24/20,264,19,24
Algeria,,28.0339,1.6596,3/25/20,302,21,65
Algeria,,28.0339,1.6596,3/26/20,367,25,29
Algeria,,28.0339,1.6596,3/27/20,409,26,29
Algeria,,28.0339,1.6596,3/28/20,454,29,31
Algeria,,28.0339,1.6596,3/29/20,511,31,31
Algeria,,28.0339,1.6596,3/30/20,584,35,37
Algeria,,28.0339,1.6596,3/31/20,716,44,46
Algeria,,28.0339,1.6596,4/1/20,847,58,61
Algeria,,28.0339,1.6596,4/2/20,986,86,61
Algeria,,28.0339,1.6596,4/3/20,1171,105,62
Algeria,,28.0339,1.6596,4/4/20,1251,130,90
Algeria,,28.0339,1.6596,4/5/20,1320,152,90
Algeria,,28.0339,1.6596,4/6/20,1423,173,90
Algeria,,28.0339,1.6596,4/7/20,1468,193,113
Algeria,,28.0339,1.6596,4/8/20,1572,205,237
Algeria,,28.0339,1.6596,4/9/20,1666,235,347
Algeria,,28.0339,1.6596,4/10/20,1761,256,405
Algeria,,28.0339,1.6596,4/11/20,1825,275,460
Algeria,,28.0339,1.6596,4/12/20,1914,293,591
Algeria,,28.0339,1.6596,4/13/20,1983,313,601
Algeria,,28.0339,1.6596,4/14/20,2070,326,691
Algeria,,28.0339,1.6596,4/15/20,2160,336,708
Algeria,,28.0339,1.6596,4/16/20,2268,348,783
Algeria,,28.0339,1.6596,4/17/20,2418,364,846
Algeria,,28.0339,1.6596,4/18/20,2534,367,894
Algeria,,28.0339,1.6596,4/19/20,2629,375,1047
Algeria,,28.0339,1.6596,4/20/20,2718,384,1099
Algeria,,28.0339,1.6596,4/21/20,2811,392,1152
Algeria,,28.0339,1.6596,4/22/20,2910,402,1204
Andorra,,42.5063,1.5218,1/22/20,0,0,0
Andorra,,42.5063,1.5218,1/23/20,0,0,0
Andorra,,42.5063,1.5218,1/24/20,0,0,0
Andorra,,42.5063,1.5218,1/25/20,0,0,0
Andorra,,42.5063,1.5218,1/26/20,0,0,0
Andorra,,42.5063,1.5218,1/27/20,0,0,0
Andorra,,42.5063,1.5218,1/28/20,0,0,0
Andorra,,42.5063,1.5218,1/29/20,0,0,0
Andorra,,42.5063,1.5218,1/30/20,0,0,0
